"Province","SSP","Period","Month","extremeHeat","spi","futPop","Area","Popdens","Popdenscat","Pop","rh_mean"
"Amnat Charoen","ssp126","2021-2040",1,1,-0.0495783141315552,225940.592633811,3262.57137600842,69.2523064155113,"Low",373418.8,73.4209804217021
"Amnat Charoen","ssp126","2021-2040",10,2,0.875291731598118,225940.592633811,3262.57137600842,69.2523064155113,"Low",373418.8,72.9709202130636
"Amnat Charoen","ssp126","2021-2040",11,0,0.263196014945464,225940.592633811,3262.57137600842,69.2523064155113,"Low",373418.8,73.701455450058
"Amnat Charoen","ssp126","2021-2040",12,1,0.120242901109919,225940.592633811,3262.57137600842,69.2523064155113,"Low",373418.8,73.9028327147166
"Amnat Charoen","ssp126","2021-2040",2,5,0.587042811684361,225940.592633811,3262.57137600842,69.2523064155113,"Low",373418.8,70.9505625724792
"Amnat Charoen","ssp126","2021-2040",3,11,0.776794153562307,225940.592633811,3262.57137600842,69.2523064155113,"Low",373418.8,72.9229877471924
"Amnat Charoen","ssp126","2021-2040",4,15,-0.202043357045298,225940.592633811,3262.57137600842,69.2523064155113,"Low",373418.8,75.3611573696137
"Amnat Charoen","ssp126","2021-2040",5,6,0.542821983848095,225940.592633811,3262.57137600842,69.2523064155113,"Low",373418.8,74.9183355172475
"Amnat Charoen","ssp126","2021-2040",6,2,-0.0730819479761595,225940.592633811,3262.57137600842,69.2523064155113,"Low",373418.8,70.5596772670746
"Amnat Charoen","ssp126","2021-2040",7,1,-0.00426007722076404,225940.592633811,3262.57137600842,69.2523064155113,"Low",373418.8,71.416190290451
"Amnat Charoen","ssp126","2021-2040",8,0,-0.327348763266348,225940.592633811,3262.57137600842,69.2523064155113,"Low",373418.8,73.8776941299438
"Amnat Charoen","ssp126","2021-2040",9,0,-0.0165001292192933,225940.592633811,3262.57137600842,69.2523064155113,"Low",373418.8,73.2921637852987
"Amnat Charoen","ssp126","2041-2060",1,2,-0.0495783141315552,189061.014163903,3262.57137600842,57.9484683627701,"Low",373418.8,76.5912614663442
"Amnat Charoen","ssp126","2041-2060",10,0,0.89370727249621,189061.014163903,3262.57137600842,57.9484683627701,"Low",373418.8,72.0304204146067
"Amnat Charoen","ssp126","2041-2060",11,0,0.309783461220726,189061.014163903,3262.57137600842,57.9484683627701,"Low",373418.8,74.8624120394389
"Amnat Charoen","ssp126","2041-2060",12,2,0.152574828658551,189061.014163903,3262.57137600842,57.9484683627701,"Low",373418.8,74.5054886341095
"Amnat Charoen","ssp126","2041-2060",2,0,0.625734765472711,189061.014163903,3262.57137600842,57.9484683627701,"Low",373418.8,73.0144271850586
"Amnat Charoen","ssp126","2041-2060",3,14,0.680764876938034,189061.014163903,3262.57137600842,57.9484683627701,"Low",373418.8,72.9991550445556
"Amnat Charoen","ssp126","2041-2060",4,14,-0.166662934610162,189061.014163903,3262.57137600842,57.9484683627701,"Low",373418.8,73.4292453130086
"Amnat Charoen","ssp126","2041-2060",5,10,0.406364235378244,189061.014163903,3262.57137600842,57.9484683627701,"Low",373418.8,72.3424856821696
"Amnat Charoen","ssp126","2041-2060",6,5,0.00629813525563919,189061.014163903,3262.57137600842,57.9484683627701,"Low",373418.8,73.1563864390055
"Amnat Charoen","ssp126","2041-2060",7,0,0.15498043436832,189061.014163903,3262.57137600842,57.9484683627701,"Low",373418.8,74.0737502733866
"Amnat Charoen","ssp126","2041-2060",8,0,-0.208058295749322,189061.014163903,3262.57137600842,57.9484683627701,"Low",373418.8,73.6481838862101
"Amnat Charoen","ssp126","2041-2060",9,2,-0.0165001292192933,189061.014163903,3262.57137600842,57.9484683627701,"Low",373418.8,72.987882900238
"Amnat Charoen","ssp126","2061-2080",1,0,-0.0495783141315552,152100.79600018,3262.57137600842,46.619913703242,"Low",373418.8,74.9549186229706
"Amnat Charoen","ssp126","2061-2080",10,0,0.851305314530564,152100.79600018,3262.57137600842,46.619913703242,"Low",373418.8,71.9767697811127
"Amnat Charoen","ssp126","2061-2080",11,0,0.282398598333477,152100.79600018,3262.57137600842,46.619913703242,"Low",373418.8,71.4969384670258
"Amnat Charoen","ssp126","2061-2080",12,0,0.177768089800224,152100.79600018,3262.57137600842,46.619913703242,"Low",373418.8,72.6597701072693
"Amnat Charoen","ssp126","2061-2080",2,3,0.665434727281441,152100.79600018,3262.57137600842,46.619913703242,"Low",373418.8,70.7845536549886
"Amnat Charoen","ssp126","2061-2080",3,9,0.777346990328282,152100.79600018,3262.57137600842,46.619913703242,"Low",373418.8,74.8528759002685
"Amnat Charoen","ssp126","2061-2080",4,16,-0.110290684093701,152100.79600018,3262.57137600842,46.619913703242,"Low",373418.8,77.8508617560069
"Amnat Charoen","ssp126","2061-2080",5,5,0.387398071211996,152100.79600018,3262.57137600842,46.619913703242,"Low",373418.8,72.0672550201416
"Amnat Charoen","ssp126","2061-2080",6,4,-0.0764421949354597,152100.79600018,3262.57137600842,46.619913703242,"Low",373418.8,71.2042182127635
"Amnat Charoen","ssp126","2061-2080",7,2,0.07225767823931,152100.79600018,3262.57137600842,46.619913703242,"Low",373418.8,72.2848360061646
"Amnat Charoen","ssp126","2061-2080",8,4,-0.168158883655538,152100.79600018,3262.57137600842,46.619913703242,"Low",373418.8,73.789826409022
"Amnat Charoen","ssp126","2061-2080",9,0,-0.0165001292192933,152100.79600018,3262.57137600842,46.619913703242,"Low",373418.8,75.6486361980438
"Amnat Charoen","ssp126","2081-2100",1,1,-0.0495783141315552,122041.411346296,3262.57137600842,37.4065107797296,"Low",373418.8,71.765113735199
