"","Year","Month","Province","ah_mean","rh_mean","t2m_mean","tp_mean","extremeTP","extremeHeat","spi"
"51",2003,1,"Ratchaburi",23.81737928,0.676340163,298.0419928,3.36e-06,0,0,-0.596625857428897
"52",2003,1,"Rayong",25.5369377,0.649315216,299.302763,6.66e-07,0,0,-1.29550061891505
"53",2003,1,"Roi Et",21.30745906,0.650141614,295.8374122,2.88e-07,0,0,-1.37900765733723
"54",2003,1,"Sa Kaeo",23.39049613,0.644608399,297.6512353,2.3e-07,0,0,-0.879799990124032
"55",2003,1,"Sakon Nakhon",19.34995105,0.681935934,294.2622473,6.61e-06,0,0,0.137157780708215
"56",2003,1,"Samut Prakan",25.95444859,0.659456344,299.6250309,1.92e-06,0,0,-1.08534415289546
"57",2003,1,"Samut Sakhon",25.407714,0.677255798,299.3119355,3.78e-06,0,0,-1.05552910291144
"58",2003,1,"Samut Songkhram",25.49232698,0.66603705,299.3578746,2.72e-06,0,0,-0.863652552766929
"59",2003,1,"Saraburi",24.23452408,0.62999245,298.241613,4.28e-07,0,0,-1.57296007478694
"60",2003,1,"Satun",26.10240235,0.759518384,299.8548539,1.78e-05,0,0,-1.00379586318159
"61",2003,1,"Si Sa Ket",22.05556623,0.652384042,296.4457044,6.98e-08,0,0,-1.41128099733969
"62",2003,1,"Sing Buri",25.74335536,0.601389546,299.3155258,2.22e-07,0,0,-2.08995385364962
"63",2003,1,"Songkhla",25.89354045,0.769943028,299.7361731,5.49e-05,0,0,-0.697360330897575
"64",2003,1,"Sukhothai",21.83541177,0.789991572,296.4331296,3.26e-05,1,0,0.579983991201578
"65",2003,1,"Suphan Buri",24.0660902,0.658437072,298.1546423,1.42e-06,0,0,-1.07656994995198
"66",2003,1,"Surat Thani",25.44623526,0.768015895,299.3431668,2.51e-05,0,0,-0.639930990407553
"67",2003,1,"Surin",22.11035269,0.652384959,296.5190719,1.72e-07,0,0,-1.14029420107912
"68",2003,1,"Tak",18.74887578,0.799807208,293.7893448,2.57e-05,0,0,0.462188143198469
"69",2003,1,"Trang",26.149185,0.771913509,299.860235,3.36e-05,0,0,-0.564095778000542
"70",2003,1,"Trat",24.68868558,0.672670501,298.8176224,9.45e-06,0,0,-0.570433461410977
"71",2003,1,"Ubon Ratchathani",21.95284269,0.644201273,296.3638968,2.84e-07,0,0,-0.965219866835126
"72",2003,1,"Udon Thani",19.83695042,0.67650635,294.7329434,7.62e-06,0,0,0.257206336521831
"73",2003,1,"Uthai Thani",20.46313078,0.761219446,295.2879116,6e-06,0,0,-0.460963844222634
"74",2003,1,"Uttaradit",20.08846752,0.766942719,294.9832277,2.27e-05,0,0,0.289655868812536
"75",2003,1,"Yala",23.5270526,0.805731842,297.9583951,6.53e-05,0,0,-0.711890484384361
"76",2003,1,"Yasothon",21.23135124,0.654929905,295.7645194,7e-08,0,0,-1.64335753124691
"77",2003,2,"Amnat Charoen",25.97835471,0.668446078,299.3240409,1.79e-05,0,0,0.822213076658893
"78",2003,2,"Ang Thong",29.64679516,0.652355067,301.8410411,4.03e-05,0,0,1.05027640655586
"79",2003,2,"Bangkok",28.39082227,0.720707771,301.1567294,3.09e-05,0,0,0.345411526212727
"80",2003,2,"Buri Ram",26.2417262,0.674120764,299.5941136,7.11e-05,1,0,1.8502662913726
"81",2003,2,"Chachoengsao",27.4009285,0.722639439,300.5265661,6.27e-05,1,0,1.14212245827159
"82",2003,2,"Chai Nat",28.29611197,0.682012619,300.9734246,1.75e-05,0,0,0.164989678123612
"83",2003,2,"Chaiyaphum",24.04921923,0.714639517,298.0351451,2.96e-05,0,0,0.705300666795049
"84",2003,2,"Chanthaburi",25.73614166,0.776387923,299.5239738,0.000100587,2,0,1.20918629993499
"85",2003,2,"Chiang Mai",19.40073916,0.695236791,294.124136,5.46e-06,0,0,0.238198157999755
"86",2003,2,"Chiang Rai",19.97229447,0.714463581,294.6753807,9.86e-06,0,0,0.268444517029707
"87",2003,2,"Chon Buri",27.57610051,0.730628266,300.7277623,8.37e-05,0,0,1.2223248284701
"88",2003,2,"Chumphon",25.92261011,0.786719326,299.7505936,3.31e-05,0,0,-0.232902224773213
"89",2003,2,"Kalasin",25.4042025,0.68401479,298.9521099,2.25e-05,0,0,0.73135427201579
"90",2003,2,"Kamphaeng Phet",24.95089628,0.727550374,298.6403842,3.56e-05,1,0,1.05665232939249
"91",2003,2,"Kanchanaburi",24.66057814,0.690339035,298.4771935,3.3e-05,0,0,0.917785753954765
"92",2003,2,"Khon Kaen",25.58444118,0.682538004,299.0890214,3.18e-05,0,0,1.04662209253845
"93",2003,2,"Krabi",28.57619763,0.689808982,301.3292664,7.91e-06,0,1,-0.570302508357804
"94",2003,2,"Lampang",22.52420686,0.694585509,296.7806151,1.01e-05,0,0,0.25668752330224
"95",2003,2,"Lamphun",22.15627071,0.681308175,296.4525848,3.03e-06,0,0,-0.035834205546356
"96",2003,2,"Loei",22.67063113,0.704329301,296.9840439,2.74e-05,0,0,0.609059845446756
"97",2003,2,"Lop Buri",28.02735623,0.659906589,300.7952508,2.8e-05,0,0,0.964709518709354
"98",2003,2,"Mae Hong Son",19.38170994,0.686829124,294.1104725,9.26e-06,0,0,0.880272723815196
"99",2003,2,"Maha Sarakham",26.05846398,0.672747889,299.4047273,3.66e-05,0,0,1.20306557384793
"100",2003,2,"Mukdahan",24.52287085,0.698585673,298.3068854,2.22e-05,0,0,0.580260954845229
"101",2003,2,"Nakhon Nayok",26.06326414,0.722574984,299.5870166,2.96e-05,0,0,0.223574623259365
"102",2003,2,"Nakhon Pathom",29.35884494,0.671630991,301.7187098,2.6e-05,0,0,0.479963314656825
"103",2003,2,"Nakhon Phanom",24.24564284,0.702761522,298.0768576,2.76e-05,0,0,0.661885378689878
"104",2003,2,"Nakhon Ratchasima",25.60466309,0.691751632,299.1728544,2.88e-05,0,0,0.655851405297069
"105",2003,2,"Nakhon Sawan",27.4111506,0.695370902,300.3670558,2.7e-05,0,0,0.58543469847308
"106",2003,2,"Nakhon Si Thammarat",25.84193346,0.78371097,299.6530794,4.12e-05,0,0,-0.0636665774500028
"107",2003,2,"Nan",21.35659301,0.709150479,295.8369683,2.42e-05,0,0,0.789220634526638
"108",2003,2,"Narathiwat",23.43555711,0.84720626,297.986081,7.88e-05,0,0,0.0732161651226837
"109",2003,2,"Nong Bua Lam Phu",24.47852255,0.702164955,298.3304922,3.85e-05,1,0,1.21263952767445
"110",2003,2,"Nong Khai",23.68051338,0.716999833,297.7235174,3.11e-05,0,0,0.700187585393084
"111",2003,2,"Nonthaburi",29.30339771,0.683215322,301.7015517,2.3e-05,0,0,0.328502562353318
"112",2003,2,"Pathum Thani",28.43202441,0.708070781,301.1337228,2.88e-05,0,0,0.515305988510113
