"Province","SSP","Period","Month","extremeHeat","spi","futPop","Area","Popdens","Popdenscat","Pop","rh_mean"
"Amnat Charoen","ssp370","2081-2100",5,28,0.843402114178901,278751.055955022,3262.57137600842,85.4390674805893,"Low",373418.8,72.4798183282216
"Amnat Charoen","ssp370","2081-2100",6,6,0.983315095738583,278751.055955022,3262.57137600842,85.4390674805893,"Low",373418.8,75.7125038305918
"Amnat Charoen","ssp370","2081-2100",7,3,-0.133557901740503,278751.055955022,3262.57137600842,85.4390674805893,"Low",373418.8,69.1880552609761
"Amnat Charoen","ssp370","2081-2100",8,1,0.862065584528898,278751.055955022,3262.57137600842,85.4390674805893,"Low",373418.8,71.3160824934642
"Amnat Charoen","ssp370","2081-2100",9,0,-0.216073633085606,278751.055955022,3262.57137600842,85.4390674805893,"Low",373418.8,72.5017337322235
"Amnat Charoen","ssp585","2021-2040",1,2,-0.0495783141315562,229821.764997577,3262.57137600842,70.4419117655448,"Low",373418.8,72.6686861356099
"Amnat Charoen","ssp585","2021-2040",10,0,-0.0728881152944965,229821.764997577,3262.57137600842,70.4419117655448,"Low",373418.8,73.1057307243347
"Amnat Charoen","ssp585","2021-2040",11,0,-0.422016627919674,229821.764997577,3262.57137600842,70.4419117655448,"Low",373418.8,71.7798101425171
"Amnat Charoen","ssp585","2021-2040",12,1,-0.016500129219294,229821.764997577,3262.57137600842,70.4419117655448,"Low",373418.8,73.8699258645376
"Amnat Charoen","ssp585","2021-2040",2,1,0.79634704058647,229821.764997577,3262.57137600842,70.4419117655448,"Low",373418.8,70.1330815792084
"Amnat Charoen","ssp585","2021-2040",3,4,-0.0738263132418819,229821.764997577,3262.57137600842,70.4419117655448,"Low",373418.8,71.4696283022563
"Amnat Charoen","ssp585","2021-2040",4,28,-0.161475312052332,229821.764997577,3262.57137600842,70.4419117655448,"Low",373418.8,73.7252428531647
"Amnat Charoen","ssp585","2021-2040",5,11,0.270373411796285,229821.764997577,3262.57137600842,70.4419117655448,"Low",373418.8,72.102135626475
"Amnat Charoen","ssp585","2021-2040",6,3,1.02837036607427,229821.764997577,3262.57137600842,70.4419117655448,"Low",373418.8,72.4203395525614
"Amnat Charoen","ssp585","2021-2040",7,0,-0.326972773629665,229821.764997577,3262.57137600842,70.4419117655448,"Low",373418.8,71.9525501251221
"Amnat Charoen","ssp585","2021-2040",8,0,0.683694498332056,229821.764997577,3262.57137600842,70.4419117655448,"Low",373418.8,73.1722571055094
"Amnat Charoen","ssp585","2021-2040",9,0,0.0114392446046451,229821.764997577,3262.57137600842,70.4419117655448,"Low",373418.8,72.1277613798777
"Amnat Charoen","ssp585","2041-2060",1,2,-0.0495783141315562,197194.623267547,3262.57137600842,60.4414740831829,"Low",373418.8,72.5539882818858
