"","Year","Month","Province","DF","ENCEP","INFLUENZA","MALARIA","PNEU","CHOL","TB","LEPTO","MELIOID"
"80",2003,10,"Buri Ram",19,0,71,0,354,0,27,14,1
"81",2003,10,"Chachoengsao",1,0,27,1,220,0,18,23,3
"82",2003,10,"Chai Nat",10,1,6,3,24,0,14,26,1
"83",2003,10,"Chaiyaphum",23,1,51,0,263,0,14,2,0
"84",2003,10,"Chanthaburi",12,0,61,0,119,0,6,3,1
"85",2003,10,"Chiang Mai",29,1,88,239,693,0,32,1,0
"86",2003,10,"Chiang Rai",13,0,23,52,636,0,35,0,0
"87",2003,10,"Chon Buri",8,0,35,65,78,1,37,1,0
"88",2003,10,"Chumphon",27,1,12,144,112,0,24,0,0
"89",2003,10,"Kalasin",8,2,5,139,134,1,32,0,0
"90",2003,10,"Kamphaeng Phet",30,0,33,84,160,6,28,0,0
"91",2003,10,"Kanchanaburi",15,1,35,59,112,1,20,3,0
"92",2003,10,"Khon Kaen",18,0,17,41,327,3,32,2,0
"93",2003,10,"Krabi",21,0,68,30,141,6,26,3,0
"94",2003,10,"Lampang",20,0,9,30,418,0,30,1,0
"95",2003,10,"Lamphun",17,1,32,202,189,1,31,1,0
"96",2003,10,"Loei",4,0,9,260,78,0,6,0,0
"97",2003,10,"Lop Buri",3,0,7,37,104,0,79,4,0
"98",2003,10,"Mae Hong Son",3,0,20,11,276,0,51,2,0
"99",2003,10,"Maha Sarakham",9,0,42,12,227,0,55,2,0
"100",2003,10,"Mukdahan",9,0,2,32,22,0,50,0,0
"101",2003,10,"Nakhon Nayok",7,0,3,61,23,0,45,0,0
"102",2003,10,"Nakhon Pathom",43,0,37,81,126,0,38,2,0
"103",2003,10,"Nakhon Phanom",12,0,13,69,58,0,30,3,0
"104",2003,10,"Nakhon Ratchasima",17,4,47,35,454,1,39,1,0
"105",2003,10,"Nakhon Sawan",33,1,32,28,169,0,49,6,0
"106",2003,10,"Nakhon Si Thammarat",22,1,56,16,119,0,21,3,0
"107",2003,10,"Nan",0,1,33,39,133,2,22,1,0
"108",2003,10,"Narathiwat",58,0,95,48,297,0,15,2,0
"109",2003,10,"Nong Bua Lam Phu",2,0,14,4,79,1,73,2,0
"110",2003,10,"Nong Khai",1,0,2,3,86,1,80,5,0
"111",2003,10,"Nonthaburi",11,0,20,5,56,0,80,0,0
"112",2003,10,"Pathum Thani",12,1,44,4,165,0,78,1,0
"113",2003,10,"Pattani",8,0,37,10,106,0,74,3,0
"114",2003,10,"Phangnga",10,2,29,14,34,0,35,8,0
"115",2003,10,"Phatthalung",6,1,12,8,138,0,28,18,0
"116",2003,10,"Phayao",4,0,13,2,227,0,28,53,0
"117",2003,10,"Phetchabun",10,0,29,3,91,0,31,20,0
"118",2003,10,"Phetchaburi",1,0,28,0,46,0,23,15,1
"119",2003,10,"Phichit",25,0,0,11,55,0,22,10,0
"120",2003,10,"Phitsanulok",11,0,14,12,93,0,18,2,0
"121",2003,10,"Phra Nakhon Si Ayutthaya",12,1,5,5,196,0,75,0,0
"122",2003,10,"Phrae",3,0,2,5,72,0,69,0,0
"123",2003,10,"Phuket",4,0,10,3,38,0,48,0,0
"124",2003,10,"Prachin Buri",3,1,11,4,85,1,40,0,0
"125",2003,10,"Prachuap Khiri Khan",11,0,18,8,36,3,32,0,0
"126",2003,10,"Ranong",6,0,5,3,24,8,32,1,0
"127",2003,10,"Ratchaburi",35,1,101,4,117,5,16,0,0
"128",2003,10,"Rayong",18,0,26,8,111,11,29,0,3
"129",2003,10,"Roi Et",23,0,38,6,203,7,12,0,0
"130",2003,10,"Sa Kaeo",4,0,5,7,44,7,29,0,1
"131",2003,10,"Sakon Nakhon",14,0,3,15,78,8,28,0,0
"132",2003,10,"Samut Prakan",11,0,11,16,59,0,14,0,0
"133",2003,10,"Samut Sakhon",14,0,10,14,18,0,30,0,0
"134",2003,10,"Samut Songkhram",2,0,35,17,20,0,27,0,0
"135",2003,10,"Saraburi",2,3,1,16,130,0,24,1,0
"136",2003,10,"Satun",0,0,27,77,49,0,28,1,0
"137",2003,10,"Si Sa Ket",6,0,128,256,141,0,17,0,0
"138",2003,10,"Sing Buri",0,0,23,217,77,0,23,0,0
"139",2003,10,"Songkhla",35,0,77,73,240,0,21,1,0
"140",2003,10,"Sukhothai",2,0,13,49,129,0,26,0,0
"141",2003,10,"Suphan Buri",10,2,15,28,86,0,28,1,0
"142",2003,10,"Surat Thani",14,0,211,41,266,0,19,5,0
"143",2003,10,"Surin",85,1,36,27,384,8,23,2,0
"144",2003,10,"Tak",10,0,53,24,221,1,7,0,0
"145",2003,10,"Trang",4,0,182,1,174,0,75,13,0
"146",2003,10,"Trat",2,0,0,2,18,0,82,5,0
"147",2003,10,"Ubon Ratchathani",20,0,44,0,524,0,64,7,0
"148",2003,10,"Udon Thani",6,0,25,4,213,0,66,1,0
